State,Ages,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2016
estimated 
population"
ALABAMA  ,Under 18,4800,321,1229,15,32,109,165,318,833,72,6,777,20,24,1,121,190,93,0,29,191,0,44,28,225,31,378,2,1096,0,0,240,3800629
ALABAMA  ,Total all ages,154482,6187,18479,312,384,1177,4314,3004,14495,880,100,18151,1382,3774,190,2020,1583,1681,1,706,10193,0,982,8126,2496,7283,2129,67,69052,0,0,,
ALASKA,Under 18,1893,216,494,8,21,35,152,104,300,62,28,297,1,10,8,5,135,24,0,33,207,0,1,31,121,18,11,0,269,0,12,32,738566
ALASKA,Total all ages,29462,2298,3495,41,130,282,1845,538,2401,505,51,4300,96,236,81,82,1024,311,13,281,1006,0,195,3063,775,112,738,4,11340,0,12,,
ARIZONA,Under 18,22997,1020,5113,15,53,336,616,759,3968,341,45,3667,13,80,19,126,1761,221,2,259,3090,0,177,211,1668,84,1436,65,2924,0,1061,90,6391343
ARIZONA,Total all ages,263699,11145,37592,242,344,1849,8710,3957,31907,1551,177,26150,1098,2005,352,1341,10031,2878,387,1388,30309,3,2520,23498,9745,14100,15874,351,71741,130,1061,,
ARKANSAS,Under 18,8045,424,1801,10,44,91,279,414,1308,74,5,1433,8,31,1,163,298,123,0,35,770,0,10,44,219,87,470,0,1765,0,363,271,2786173
ARKANSAS,Total all ages,132165,4860,13791,143,289,561,3867,2174,11084,488,45,11849,813,1114,64,1437,1460,1040,277,119,15736,8,354,6703,1769,6589,2425,890,60504,0,363,,
CALIFORNIA ,Under 18,58758,7015,12519,92,275,2601,4047,4583,6169,1508,259,8977,62,180,15,982,3050,3379,112,1123,6291,3,3,493,1210,880,1264,101,9645,0,1454,613,39012007
CALIFORNIA ,Total all ages,1118712,106828,115354,1437,2560,15866,86965,40808,54720,18521,1305,80835,5000,6324,955,16500,17202,27707,7601,9222,219016,266,236,129752,8857,69869,3906,6597,285231,0,1454,,
COLORADO,Under 18,21548,636,4753,6,52,126,452,432,3794,450,77,1697,6,63,7,32,833,294,1,102,2440,0,52,217,1389,47,1727,0,6099,0,1153,193,5008754
COLORADO,Total all ages,225710,6691,29879,150,414,941,5186,2571,24495,2585,228,17079,679,2512,101,456,5354,2363,510,437,14790,3,2849,23364,9025,249,7486,453,100277,0,1153,,
CONNECTICUT,Under 18,8264,416,1902,5,28,161,222,261,1330,275,36,1974,13,35,5,54,432,178,1,71,581,0,45,41,49,0,1485,0,978,0,4,104,3526707
CONNECTICUT,Total all ages,100280,3741,14845,62,222,1016,2441,1935,11971,842,97,17935,553,893,161,366,2063,1185,212,348,9349,19,1450,8533,225,8,11640,36,26714,0,4,,
DELAWARE,Under 18,3704,348,712,5,12,119,212,137,537,34,4,1008,3,70,2,119,207,98,0,33,340,0,0,0,84,1,287,0,345,0,47,56,950787
DELAWARE,Total all ages,33553,2224,7165,29,58,526,1611,1053,5964,122,26,6630,290,1769,198,468,886,388,89,128,4289,1,195,355,884,345,1312,332,5558,0,47,,
DISTRICT OF COLUMBIA5,Under 18,671,83,47,0,0,58,25,0,44,3,0,75,0,0,0,14,20,35,0,0,19,0,0,0,0,0,39,0,338,0,1,2,0
DISTRICT OF COLUMBIA5,Total all ages,10271,161,132,1,2,94,64,0,122,10,0,360,1,9,0,22,43,83,0,5,328,0,2,11,1024,89,172,30,7798,0,1,,
"FLORIDA6, 7",Under 18,57843,3861,17688,45,248,1541,2027,4817,10005,2810,56,8670,45,388,26,157,1166,801,7,293,5584,4,0,109,496,0,0,0,18548,0,0,668,20566240
"FLORIDA6, 7",Total all ages,726396,35807,102639,642,1747,6521,26897,18037,76139,8211,252,76450,2247,11954,1041,1774,6192,5152,2397,2728,114550,149,0,35042,14280,0,0,0,313994,0,0,,
GEORGIA,Under 18,22646,1282,5599,60,42,514,666,1043,4145,382,29,3636,65,112,8,373,620,551,12,418,2402,7,133,89,326,20,2184,99,4380,0,330,402,8150300
GEORGIA,Total all ages,238684,11105,32573,403,274,2018,8410,4506,26601,1328,138,22486,2379,3323,223,2819,3643,3141,455,2783,39593,76,2944,18939,4262,1442,14886,1574,69708,0,330,,
HAWAII,Under 18,3597,175,688,1,23,72,79,85,545,50,8,470,2,8,0,21,121,15,3,42,454,0,1,23,92,4,95,3,1201,7,172,4,1428557
HAWAII,Total all ages,42301,1341,4426,35,154,294,858,636,3365,389,36,4621,140,265,32,130,570,297,159,218,2574,76,17,5929,575,4,1074,3,19671,7,172,,
IDAHO,Under 18,5298,117,1028,0,23,8,86,163,788,57,20,668,1,33,1,30,247,77,0,60,730,0,40,61,324,30,237,0,1557,0,57,101,1324720
IDAHO,Total all ages,46962,1279,4955,23,99,79,1078,808,3909,196,42,4270,111,252,40,243,761,306,11,209,8031,0,724,6195,1324,254,1458,10,16472,0,57,,
ILLINOIS6,Under 18,10186,1003,2964,45,35,665,258,301,1161,1489,13,1576,9,4,0,39,294,738,0,17,1343,44,6,7,32,0,877,0,1154,0,79,2,2872516
ILLINOIS6,Total all ages,67983,4030,12623,287,276,1631,1836,992,8060,3505,66,13371,128,183,0,87,2072,3234,187,302,12958,456,254,2929,165,0,3756,4,11165,0,79,,
INDIANA,Under 18,12420,758,3074,12,19,298,429,317,2400,316,41,2161,18,68,3,83,447,255,2,105,1100,1,171,61,745,38,697,33,2374,8,218,204,4305899
INDIANA,Total all ages,143554,7323,19954,160,193,1325,5645,2208,16014,1625,107,12547,1351,1670,204,547,1419,2386,309,776,18041,21,1042,13492,3665,4316,3517,81,50656,19,218,,
IOWA,Under 18,10671,558,2556,3,34,110,411,391,1978,152,35,1560,21,39,8,47,766,120,1,64,935,0,3,71,689,99,1211,0,1519,0,404,206,2810823
IOWA,Total all ages,95962,4876,13033,55,154,396,4271,1585,10839,525,84,7790,584,752,79,177,2283,844,104,186,9550,5,1242,9836,3943,6983,4104,9,29178,0,404,,
KANSAS,Under 18,4081,170,910,6,25,33,106,84,738,69,19,643,5,10,8,47,226,54,1,42,668,0,8,58,408,0,204,0,619,0,0,228,1732223
KANSAS,Total all ages,53823,1948,4899,50,126,205,1567,579,3907,363,50,7741,189,403,107,577,1458,541,56,138,7519,0,182,5923,2593,134,1558,0,17857,0,0,,
KENTUCKY,Under 18,5639,402,1466,17,32,223,130,340,853,263,10,1039,20,13,7,464,184,95,0,33,501,0,5,66,26,57,230,0,1028,0,3,419,4424357
KENTUCKY,Total all ages,210586,3487,18219,185,236,1122,1944,2994,14286,886,53,11703,1021,1003,441,2628,1132,891,252,297,23308,9,4547,16901,94,14259,4095,137,106159,0,3,,
LOUISIANA,Under 18,19018,1328,4669,28,112,333,855,1211,3085,353,20,3061,10,38,4,372,600,452,11,172,1475,14,42,32,233,25,2537,51,3584,9,299,168,4183659
LOUISIANA,Total all ages,191920,11372,32355,339,499,1646,8888,5422,25436,1388,109,23075,731,1473,172,2283,3739,3777,521,1355,27529,79,1538,7587,3596,3567,10435,250,56154,33,299,,
MAINE,Under 18,3160,45,814,1,13,7,24,136,604,57,17,442,10,11,2,11,232,14,1,30,383,0,0,28,459,4,105,0,561,0,8,195,1328762
MAINE,Total all ages,43473,774,5668,16,61,139,558,681,4704,206,77,4719,229,552,66,90,1052,149,105,187,5430,1,122,5834,2218,17,1309,0,14943,0,8,,
MARYLAND,Under 18,19506,1935,4862,11,74,1067,783,932,3169,620,141,4630,26,42,1,22,929,636,8,144,2167,19,10,60,512,8,873,23,2522,30,47,143,5197665
MARYLAND,Total all ages,182631,9737,25715,270,403,3223,5841,4777,19083,1502,353,21522,582,896,115,144,2721,3181,584,687,30692,133,1972,17809,5398,14,4639,139,55773,131,47,,
MASSACHUSETTS,Under 18,6939,849,1285,6,28,185,630,213,928,111,33,1485,20,29,3,153,415,158,1,47,228,0,33,46,291,38,394,0,1464,0,0,342,6436240
MASSACHUSETTS,Total all ages,119180,9656,14973,58,303,1263,8032,2135,12140,618,80,19027,469,1263,136,1084,2692,1238,553,418,9770,14,1231,9008,2000,5600,4329,11,35706,2,0,,
MICHIGAN,Under 18,17629,1160,4802,14,117,276,753,715,3695,325,67,2601,32,208,30,249,548,348,4,150,2207,3,4,194,1371,4,666,0,2723,0,325,606,9696514
MICHIGAN,Total all ages,255900,12163,26295,166,760,1467,9770,3284,21366,1412,233,27475,652,3909,1009,1645,2828,4128,528,687,38780,37,2799,27571,10690,367,6536,241,87235,0,325,,
MINNESOTA,Under 18,19648,900,4993,6,101,359,434,426,4221,316,30,2120,17,147,8,285,895,392,2,147,1525,0,10,144,1795,0,2039,2,3280,0,947,365,5237709
MINNESOTA,Total all ages,135455,5404,25116,103,565,1155,3581,2109,21652,1264,91,13688,985,2187,29,1684,3057,1786,344,1047,15397,12,507,19196,8054,1,8679,38,27297,0,947,,
